st,74285
pr,69984
ne,64410
ni,60525
po,56239
ov,53818
ro,51961
en,50645
na,46737
je,42433
te,40393
le,38926
ko,38688
od,38393
ra,37531
to,36355
ou,35191
no,32612
la,32336
li,31952
ho,31442
do,30665
os,30530
se,30454
ta,30177
al,29682
ed,29622
an,29326
ce,28280
va,27987
at,27603
re,27181
er,27168
ti,26858
em,26818
in,26427
sk,26085
lo,25981
